"DATE","TIME","NO2","CI_up","CI_low"
2011-11-23,0,0.0824981649425199,0.199044591778247,0.108277737651334
2011-11-24,1,0.0826648744775197,0.192675863316112,0.106727053136808
2011-11-25,2,0.0831103550531893,0.187104556602223,0.105655609681298
2011-11-26,3,0.0838200977347984,0.182277719744373,0.105026767642616
2011-11-27,4,0.0847798147238698,0.175423231123137,0.107521803083577
2011-11-28,5,0.0859754483184934,0.172061006592423,0.107529937563696
2011-11-29,6,0.087393179067965,0.16927556536544,0.10787682638938
2011-11-30,7,0.0890194331344614,0.16701654985165,0.108524917159118
2011-12-01,8,0.0908408888793837,0.165235110106221,0.109437782109357
2011-12-02,9,0.0928444826965472,0.163884158515044,0.110580437781581
2011-12-03,10,0.0950174141185437,0.162918568467997,0.111919600228284
2011-12-04,11,0.0973471502263292,0.162295329257681,0.113423886264882
2011-12-05,12,0.099821429395428,0.16197366889911,0.115063970761668
2011-12-06,13,0.102428264415027,0.16191515520125,0.116812708771017
2011-12-07,14,0.105155945018735,0.162083783420314,0.118645229590332
2011-12-08,15,0.107993039867837,0.16244605639582,0.120539007865013
2011-12-09,16,0.110928398029534,0.162971060430132,0.122473914723861
2011-12-10,17,0.113951149993925,0.162687628119626,0.125375159298268
2011-12-11,18,0.11705070827435,0.163484862681661,0.12731284336561
2011-12-12,19,0.120216767636187,0.164366094142962,0.129248052512097
2011-12-13,20,0.123439304999345,0.165311618296707,0.131170124196731
2011-12-14,21,0.126708579059427,0.16630456324613,0.133070738027715
2011-12-15,22,0.13001512967199,0.167330881888543,0.134943820377815
2011-12-16,23,0.133349777043399,0.168379311581132,0.136785414540366
2011-12-17,24,0.136703620770552,0.169441297009972,0.138593516375314
2011-12-18,25,0.14006803877024,0.170510874481353,0.140367878043727
2011-12-19,26,0.143434686137066,0.171584518539266,0.142109785427773
2011-12-20,27,0.146795493966731,0.172660954684583,0.143821817763309
2011-12-21,28,0.150142668179154,0.173740944641377,0.145507600371561
2011-12-22,29,0.153468688373208,0.174827052650335,0.147171562664296
2011-12-23,30,0.156766306741985,0.175923402264983,0.148818713429204
2011-12-24,31,0.160028547074362,0.177035432803852,0.150454443621867
2011-12-25,32,0.163248703865277,0.178169662904953,0.152084363639604
2011-12-26,33,0.166420341553522,0.179333465740084,0.153714177771408
2011-12-27,34,0.169537293902095,0.180534856838022,0.15534959386338
2011-12-28,35,0.172593663532135,0.181782291780244,0.156996261932066
2011-12-29,36,0.175583821617341,0.183084467955394,0.158659732114014
2011-12-30,37,0.178502407741431,0.184450122656871,0.160345420326803
2011-12-31,38,0.181344329916786,0.185887819396395,0.162058569393985
2012-01-01,39,0.184104764757834,0.187405715375134,0.163804193935989
2012-01-02,40,0.186779157798159,0.189011305277138,0.165586998667399
2012-01-03,41,0.189363223935626,0.190711139373618,0.167411261463171
2012-01-04,42,0.191852947985167,0.192510516711163,0.169280674366295
2012-01-05,43,0.194244585314283,0.194413156343947,0.171198137492002
2012-01-06,44,0.196534662531796,0.196420850839905,0.173165502611143
2012-01-07,45,0.198719978196048,0.198533106678787,0.175183265281768
2012-01-08,46,0.200797603504614,0.200746776100825,0.177250207041745
2012-01-09,47,0.202764882923729,0.203055685250359,0.179362992721079
2012-01-10,48,0.204619434712144,0.205450265107737,0.181515732763296
2012-01-11,49,0.206359151291035,0.207917195758597,0.183699526976701
2012-01-12,50,0.207982199408986,0.211059148856624,0.185281947739377
